"Player";"Short Name";"Player ID";"Birthdate";"Minutes";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"Distance";"M/min";"Running Distance";"HSR Distance";"HSR Count";"Sprint Distance";"Sprint Count";"HI Distance";"HI Count";"PSV-99";"TOP 5 PSV-99";"Medium Acceleration Count";"High Acceleration Count";"Medium Deceleration Count";"High Deceleration Count";"Explosive Acceleration to HSR Count";"TOP 3 Time to HSR";"TOP 3 Time to HSR post-COD";"Explosive Acceleration to Sprint Count";"TOP 3 Time to Sprint";"TOP 3 Time to Sprint post-COD";"Change of Direction Count";"TOP 3 Time to 505 around 90";"TOP 3 Time to 505 around 180";"Distance P90";"M/min P90";"Running Distance P90";"HSR Distance P90";"HSR Count P90";"Sprint Distance P90";"Sprint Count P90";"HI Distance P90";"HI Count P90";"Medium Acceleration Count P90";"High Acceleration Count P90";"Medium Deceleration Count P90";"High Deceleration Count P90";"Explosive Acceleration to HSR Count P90";"Explosive Acceleration to Sprint Count P90";"Change of Direction Count P90"
"Ane Campos Andueza";"Ane Campos";"70161";"1999-05-21";"71.49";"6";"0";"7877.83";"110.2";"1016.17";"355.33";"35.83";"76.83";"5.0";"432.17";"40.83";"27.43";"27.94";"85.83";"4.17";"73.0";"7.67";"1.67";"0.94";"0.94";"0.17";"null";"null";"29.17";"2.32";"2.9";"9918.08";"110.2";"1279.34";"447.36";"45.11";"96.73";"6.29";"544.09";"51.41";"108.06";"5.25";"91.91";"9.65";"2.1";"0.21";"36.72"
"Miriam Rodriguez González";"Kuki";"70162";"1994-11-18";"75.52";"3";"0";"8427.33";"111.6";"1120.0";"287.33";"23.67";"11.0";"0.0";"298.33";"23.67";"22.9";"22.9";"88.0";"1.67";"76.67";"6.0";"0.0";"null";"null";"0.0";"null";"null";"22.67";"2.44";"3.03";"10043.61";"111.6";"1334.8";"342.44";"28.21";"13.11";"0.0";"355.55";"28.21";"104.88";"1.99";"91.37";"7.15";"0.0";"0.0";"27.01"
"Paulina Gramaglia";"P. Gramaglia";"75104";"2003-03-21";"76.88";"6";"0";"8314.83";"108.15";"1007.67";"392.67";"32.0";"45.83";"3.5";"438.5";"35.5";"25.92";"26.22";"92.83";"5.33";"75.0";"8.83";"2.83";"0.97";"null";"0.0";"null";"null";"27.17";"2.08";"3.0";"9733.38";"108.15";"1179.58";"459.66";"37.46";"53.65";"4.1";"513.31";"41.56";"108.67";"6.24";"87.8";"10.34";"3.32";"0.0";"31.8"
"Carmen Menayo Montero";"Carmen Menayo";"95618";"1998-04-14";"87.35";"6";"0";"8480.17";"97.08";"976.5";"276.83";"22.0";"58.67";"2.83";"335.5";"24.83";"26.47";"26.92";"90.0";"2.17";"75.5";"3.17";"0.5";"null";"null";"0.0";"null";"null";"8.5";"2.56";"null";"8737.16";"97.08";"1006.09";"285.22";"22.67";"60.44";"2.92";"345.67";"25.59";"92.73";"2.23";"77.79";"3.26";"0.52";"0.0";"8.76"
"Carmen Álvarez ";"Carmen Alvarez";"95619";"2003-02-24";"83.79";"14";"0";"8091.07";"96.56";"909.79";"353.57";"32.36";"82.64";"4.64";"436.21";"37.0";"27.14";"28.18";"89.14";"5.5";"75.43";"9.29";"2.5";"0.9";"null";"0.43";"null";"null";"20.29";"2.23";"3.02";"8690.44";"96.56";"977.18";"379.76";"34.75";"88.76";"4.99";"468.53";"39.74";"95.75";"5.91";"81.02";"9.97";"2.69";"0.46";"21.79"
"Claudia Iglesias de la Cruz";"Claudia Iglesias";"95620";"2003-08-30";"72.78";"1";"0";"7581.0";"104.16";"875.0";"170.0";"13.0";"0.0";"0.0";"170.0";"13.0";"22.9";"22.9";"81.0";"1.0";"71.0";"4.0";"0.0";"null";"null";"0.0";"null";"null";"7.0";"null";"null";"9374.26";"104.16";"1081.98";"210.21";"16.08";"0.0";"0.0";"210.21";"16.08";"100.16";"1.24";"87.79";"4.95";"0.0";"0.0";"8.66"
"Sheila García Gómez";"Sheila Garcia";"95622";"1997-03-15";"96.31";"8";"0";"10158.75";"105.48";"1288.62";"472.38";"41.75";"98.25";"5.88";"570.62";"47.62";"27.82";"28.8";"97.88";"3.75";"85.38";"6.88";"1.5";"0.96";"null";"0.0";"null";"null";"22.5";"2.05";"3.11";"9493.34";"105.48";"1204.22";"441.43";"39.02";"91.81";"5.49";"533.25";"44.51";"91.46";"3.5";"79.78";"6.42";"1.4";"0.0";"21.03"
"Ana Franco de la Vega";"Ana Franco";"95624";"1999-06-06";"90.77";"10";"0";"10140.1";"111.72";"1562.6";"485.5";"37.1";"46.4";"3.4";"531.9";"40.5";"25.39";"26.34";"107.7";"4.6";"91.0";"6.2";"1.8";"0.76";"null";"0.3";"null";"null";"24.7";"2.25";"2.94";"10054.45";"111.72";"1549.4";"481.4";"36.79";"46.01";"3.37";"527.41";"40.16";"106.79";"4.56";"90.23";"6.15";"1.78";"0.3";"24.49"
"María Inmaculada Gabarro Romero";"Inma Gabarro";"95632";"2002-11-05";"91.0";"10";"0";"9595.2";"105.44";"1299.9";"478.3";"45.2";"116.6";"7.6";"594.9";"52.8";"27.49";"28.12";"108.7";"6.5";"91.5";"13.8";"4.9";"0.66";"0.78";"0.8";"1.29";"null";"29.7";"2.07";"2.99";"9489.41";"105.44";"1285.57";"473.03";"44.7";"115.31";"7.52";"588.34";"52.22";"107.5";"6.43";"90.49";"13.65";"4.85";"0.79";"29.37"
"Teresa Merida Cañete";"Teresa Merida";"95634";"2002-07-17";"100.48";"13";"0";"9438.15";"93.93";"898.23";"241.77";"16.92";"31.85";"1.62";"273.62";"18.54";"24.69";"26.22";"93.62";"2.38";"79.77";"3.77";"0.69";"0.97";"null";"0.23";"null";"null";"8.85";"2.49";"3.21";"8453.37";"93.93";"804.51";"216.54";"15.16";"28.52";"1.45";"245.07";"16.6";"83.85";"2.14";"71.45";"3.38";"0.62";"0.21";"7.92"
"Esmee Brugts";"E. Brugts";"143905";"2003-07-28";"85.86";"14";"0";"9233.93";"107.54";"1179.07";"369.64";"31.64";"49.57";"3.07";"419.21";"34.71";"25.64";"26.74";"94.07";"4.86";"80.93";"8.86";"2.43";"0.67";"0.84";"0.57";"1.91";"null";"20.0";"2.1";"2.87";"9678.96";"107.54";"1235.9";"387.46";"33.17";"51.96";"3.22";"439.42";"36.39";"98.61";"5.09";"84.83";"9.28";"2.55";"0.6";"20.96"
"Paula Partido Duran";"Paula Partido";"147842";"2005-03-02";"90.2";"4";"0";"10063.0";"111.56";"1462.5";"542.5";"42.5";"56.0";"4.25";"598.5";"46.75";"26.12";"26.12";"96.0";"3.75";"84.75";"10.0";"2.5";"0.75";"null";"0.0";"null";"null";"34.0";"2.28";"2.98";"10040.69";"111.56";"1459.26";"541.3";"42.41";"55.88";"4.24";"597.17";"46.65";"95.79";"3.74";"84.56";"9.98";"2.49";"0.0";"33.92"
"Ona Baradad Rius";"Ona Baradad";"147844";"2004-04-16";"83.94";"16";"0";"9042.31";"107.73";"1145.31";"413.88";"38.25";"92.56";"4.81";"506.44";"43.06";"26.89";"28.46";"90.5";"4.0";"76.5";"9.69";"2.19";"0.64";"0.76";"0.06";"null";"null";"29.06";"1.92";"2.76";"9695.41";"107.73";"1228.03";"443.77";"41.01";"99.25";"5.16";"543.02";"46.17";"97.04";"4.29";"82.03";"10.39";"2.35";"0.07";"31.16"
"Ariana Arias Jiménez";"Ariana Arias";"151716";"2003-05-25";"83.0";"4";"0";"8771.25";"105.68";"1237.75";"455.5";"37.5";"38.0";"3.5";"493.5";"41.0";"25.48";"25.48";"101.0";"7.25";"82.0";"9.75";"3.5";"0.96";"null";"0.5";"null";"null";"24.25";"2.23";"null";"9510.99";"105.68";"1342.14";"493.92";"40.66";"41.2";"3.8";"535.12";"44.46";"109.52";"7.86";"88.92";"10.57";"3.8";"0.54";"26.3"
"Esther Laborde Cabanillas";"Esther Laborde";"151728";"2004-04-20";"80.89";"10";"0";"8321.6";"102.87";"1059.3";"273.3";"23.4";"26.6";"1.3";"299.9";"24.7";"24.84";"25.42";"84.2";"1.3";"74.7";"3.2";"0.6";"1.14";"null";"0.1";"null";"null";"15.1";"2.31";"3.42";"9258.41";"102.87";"1178.55";"304.07";"26.03";"29.59";"1.45";"333.66";"27.48";"93.68";"1.45";"83.11";"3.56";"0.67";"0.11";"16.8"
"Claire Lavogez";"C. Lavogez";"157687";"1994-06-18";"76.07";"9";"0";"8388.44";"110.27";"1123.89";"399.0";"36.44";"57.89";"4.11";"456.89";"40.56";"25.98";"26.42";"92.33";"3.89";"77.67";"11.22";"0.78";"1.13";"null";"0.11";"null";"null";"26.89";"2.13";"2.95";"9924.49";"110.27";"1329.69";"472.06";"43.12";"68.49";"4.86";"540.55";"47.98";"109.24";"4.6";"91.89";"13.28";"0.92";"0.13";"31.81"
"Salma Paralluelo Ayingono";"Salma Paralluelo";"167402";"2003-11-13";"81.68";"9";"0";"8422.44";"103.12";"1016.0";"421.44";"44.67";"133.67";"8.0";"555.11";"52.67";"28.47";"29.32";"95.44";"5.33";"83.89";"10.89";"3.44";"0.75";"0.88";"1.33";"1.55";"null";"23.67";"2.14";"3.01";"9280.61";"103.12";"1119.52";"464.39";"49.22";"147.29";"8.82";"611.67";"58.03";"105.17";"5.88";"92.44";"12.0";"3.8";"1.47";"26.08"
"Naomie Feller";"N. Feller";"167449";"2001-11-06";"78.6";"6";"0";"7948.0";"101.12";"949.5";"419.17";"41.67";"121.33";"7.17";"540.5";"48.83";"28.17";"28.56";"88.5";"5.67";"72.83";"13.5";"4.17";"0.81";"0.83";"1.0";"1.54";"null";"24.5";"2.34";"2.71";"9100.76";"101.12";"1087.21";"479.96";"47.71";"138.93";"8.21";"618.89";"55.92";"101.34";"6.49";"83.4";"15.46";"4.77";"1.15";"28.05"
"Allegra Poljak";"A. Poljak";"167512";"1999-02-05";"92.55";"18";"0";"9590.94";"103.63";"1187.5";"456.72";"40.33";"144.61";"7.39";"601.33";"47.72";"27.72";"28.98";"101.06";"3.83";"90.22";"10.06";"2.5";"0.67";"0.77";"0.39";"1.43";"null";"22.0";"2.28";"2.84";"9326.41";"103.63";"1154.75";"444.12";"39.22";"140.62";"7.19";"584.75";"46.41";"98.27";"3.73";"87.73";"9.78";"2.43";"0.38";"21.39"
"Phoenetia Browne";"P. Browne";"169963";"1994-04-22";"78.86";"10";"0";"7942.6";"100.72";"993.5";"374.8";"37.1";"108.9";"6.0";"483.7";"43.1";"28.08";"28.96";"85.1";"4.8";"69.1";"9.5";"3.1";"0.79";"null";"0.3";"null";"null";"19.9";"2.35";"3.16";"9064.4";"100.72";"1133.82";"427.74";"42.34";"124.28";"6.85";"552.02";"49.19";"97.12";"5.48";"78.86";"10.84";"3.54";"0.34";"22.71"
"Alice Marques";"A. Marques";"185157";"2005-05-04";"98.68";"8";"0";"9766.62";"98.97";"1149.25";"361.12";"29.62";"55.75";"2.62";"416.88";"32.25";"25.73";"26.38";"96.88";"4.25";"86.88";"6.38";"2.12";"0.85";"null";"0.38";"null";"null";"17.12";"2.17";"3.27";"8907.62";"98.97";"1048.17";"329.36";"27.02";"50.85";"2.39";"380.21";"29.41";"88.35";"3.88";"79.23";"5.81";"1.94";"0.34";"15.62"
"Sara Ortega Ruiz";"Sara Ortega";"185176";"2005-02-20";"97.33";"18";"0";"10504.28";"107.92";"1524.11";"590.28";"52.28";"88.72";"6.33";"679.0";"58.61";"26.63";"27.74";"124.56";"4.28";"102.22";"13.94";"3.11";"0.73";"0.78";"0.28";"1.65";"null";"37.11";"1.85";"2.67";"9713.04";"107.92";"1409.31";"545.82";"48.34";"82.04";"5.86";"627.85";"54.2";"115.17";"3.96";"94.52";"12.89";"2.88";"0.26";"34.32"
"Marina Artero Moreno";"Marina Artero";"185177";"2005-10-14";"95.65";"4";"0";"8979.5";"93.88";"946.5";"238.0";"16.75";"15.0";"0.25";"253.0";"17.0";"23.9";"23.9";"89.5";"1.0";"71.0";"3.0";"0.0";"null";"null";"0.0";"null";"null";"12.25";"null";"null";"8449.45";"93.88";"890.63";"223.95";"15.76";"14.11";"0.24";"238.07";"16.0";"84.22";"0.94";"66.81";"2.82";"0.0";"0.0";"11.53"
"Marina Rivas Jaén";"Marina Rivas";"185179";"2005-07-02";"80.97";"7";"0";"8422.29";"104.02";"949.86";"154.29";"14.86";"13.71";"0.71";"168.0";"15.57";"23.73";"24.38";"82.29";"0.43";"74.71";"2.71";"0.0";"null";"null";"0.0";"null";"null";"14.86";"2.32";"3.24";"9361.95";"104.02";"1055.83";"171.5";"16.51";"15.24";"0.79";"186.74";"17.31";"91.47";"0.48";"83.05";"3.02";"0.0";"0.0";"16.51"
"Sandra Villafañe Serrada";"Sandra Villafañe";"185181";"2005-09-18";"102.53";"20";"0";"9940.8";"96.96";"1066.2";"353.3";"33.25";"78.0";"5.3";"431.3";"38.55";"27.32";"28.48";"111.85";"2.55";"90.55";"7.0";"1.45";"0.7";"0.93";"0.15";"2.04";"2.04";"19.65";"2.23";"2.91";"8726.17";"96.96";"935.92";"310.13";"29.19";"68.47";"4.65";"378.6";"33.84";"98.18";"2.24";"79.49";"6.14";"1.27";"0.13";"17.25"
"Victoria López Serrano Felix";"Vicky López";"185182";"2006-07-26";"86.83";"12";"0";"9672.08";"111.4";"1352.83";"369.67";"32.83";"36.75";"2.42";"406.42";"35.25";"25.38";"26.48";"103.25";"3.42";"88.83";"9.08";"1.75";"0.82";"0.94";"0.17";"null";"null";"24.08";"1.99";"2.95";"10025.61";"111.4";"1402.28";"383.18";"34.03";"38.09";"2.5";"421.27";"36.54";"107.02";"3.54";"92.08";"9.42";"1.81";"0.17";"24.96"
"Adriana Ranera Casanovas";"Adriana Ranera";"185183";"2005-07-07";"101.03";"2";"0";"10322.0";"102.16";"1007.5";"413.5";"38.5";"82.5";"8.0";"496.0";"46.5";"26.6";"26.6";"97.5";"1.5";"89.0";"4.5";"1.0";"null";"null";"0.0";"null";"null";"18.0";"null";"null";"9194.79";"102.16";"897.48";"368.34";"34.3";"73.49";"7.13";"441.83";"41.42";"86.85";"1.34";"79.28";"4.01";"0.89";"0.0";"16.03"
"Jone Amezaga Martinez";"Jone Amezaga";"185185";"2005-01-02";"93.85";"4";"0";"9710.5";"103.47";"1113.0";"443.5";"42.5";"179.0";"10.0";"622.5";"52.5";"29.18";"29.18";"102.0";"4.75";"85.25";"10.5";"3.5";"0.87";"null";"0.5";"null";"null";"22.0";"2.32";"null";"9312.15";"103.47";"1067.34";"425.31";"40.76";"171.66";"9.59";"596.96";"50.35";"97.82";"4.56";"81.75";"10.07";"3.36";"0.48";"21.1"
"Olaya Enrique Rodriguez";"Olaya Rodriguez";"185190";"2005-05-10";"96.43";"16";"0";"10737.38";"111.35";"1487.56";"344.88";"27.88";"26.5";"1.62";"371.38";"29.5";"24.96";"26.12";"105.56";"1.81";"93.06";"6.69";"0.75";"0.93";"0.99";"0.0";"null";"null";"23.06";"2.0";"2.82";"10021.27";"111.35";"1388.35";"321.87";"26.02";"24.73";"1.52";"346.61";"27.53";"98.52";"1.69";"86.86";"6.24";"0.7";"0.0";"21.52"
"Yolanda Sierra ";"Yolanda Sierra";"185191";"2005-01-17";"99.4";"5";"0";"9443.0";"95.0";"1047.2";"221.8";"19.4";"18.0";"1.6";"239.8";"21.0";"24.76";"24.76";"102.6";"2.4";"82.0";"6.0";"0.8";"null";"null";"0.4";"null";"null";"12.2";"null";"null";"8549.71";"95.0";"948.14";"200.82";"17.56";"16.3";"1.45";"217.12";"19.01";"92.89";"2.17";"74.24";"5.43";"0.72";"0.36";"11.05"
"Lotte Jasmijn Keukelaar";"L. Keukelaar";"185192";"2005-09-25";"78.66";"3";"0";"8015.67";"101.91";"1077.67";"431.0";"40.33";"69.33";"4.67";"500.33";"45.0";"27.83";"27.83";"92.67";"4.67";"72.67";"13.67";"3.0";"1.06";"null";"0.0";"null";"null";"25.67";"2.52";"null";"9171.76";"101.91";"1233.1";"493.16";"46.15";"79.33";"5.34";"572.5";"51.49";"106.03";"5.34";"83.15";"15.64";"3.43";"0.0";"29.37"
"Julia Bartel Holgado";"Julia Bartel";"185243";"2004-05-18";"85.25";"14";"0";"9333.14";"109.49";"1353.93";"289.0";"23.0";"19.71";"0.86";"308.71";"23.86";"23.99";"25.5";"99.64";"2.0";"89.71";"4.0";"1.0";"0.88";"null";"0.0";"null";"null";"18.86";"2.11";"2.91";"9853.72";"109.49";"1429.45";"305.12";"24.28";"20.81";"0.9";"325.93";"25.19";"105.2";"2.11";"94.72";"4.22";"1.06";"0.0";"19.91"
"Maite Zubieta Aranbarri";"Maite Zubieta";"185244";"2004-05-28";"94.51";"14";"0";"10053.86";"106.37";"1086.0";"225.07";"18.43";"15.21";"0.86";"240.29";"19.29";"24.27";"25.32";"83.36";"1.43";"77.14";"2.86";"0.43";"null";"null";"0.0";"null";"null";"14.5";"2.14";"3.14";"9573.65";"106.37";"1034.13";"214.32";"17.55";"14.49";"0.82";"228.81";"18.36";"79.38";"1.36";"73.46";"2.72";"0.41";"0.0";"13.81"
"Amaia Martínez De la Peña";"Amaia Martinez";"185246";"2004-06-29";"102.46";"8";"0";"10279.75";"100.33";"1158.62";"408.88";"33.62";"82.88";"4.88";"491.75";"38.5";"26.85";"27.16";"111.0";"3.88";"93.38";"8.0";"1.62";"0.76";"0.92";"0.38";"null";"null";"19.62";"2.04";"3.18";"9029.98";"100.33";"1017.76";"359.17";"29.54";"72.8";"4.28";"431.96";"33.82";"97.51";"3.4";"82.02";"7.03";"1.43";"0.33";"17.24"
"Ariadna Mingueza García";"Ari Mingueza";"185247";"2003-03-22";"88.37";"11";"0";"8740.45";"98.9";"920.82";"185.27";"13.82";"14.27";"0.55";"199.55";"14.36";"24.19";"24.88";"83.64";"2.18";"74.73";"3.64";"0.45";"null";"null";"0.09";"null";"null";"11.45";"2.46";"null";"8901.4";"98.9";"937.77";"188.68";"14.07";"14.54";"0.56";"203.22";"14.63";"85.18";"2.22";"76.1";"3.7";"0.46";"0.09";"11.67"
"Clara Pinedo Castresana";"Clara Pinedo";"185248";"2003-09-09";"81.92";"10";"0";"9248.4";"112.9";"1232.0";"361.6";"33.5";"51.5";"3.5";"413.1";"37.0";"26.37";"27.18";"103.0";"2.1";"85.5";"7.3";"0.8";"0.86";"null";"0.2";"null";"null";"27.4";"2.17";"3.04";"10161.22";"112.9";"1353.6";"397.29";"36.81";"56.58";"3.85";"453.87";"40.65";"113.17";"2.31";"93.94";"8.02";"0.88";"0.22";"30.1"
"Ane Elexpuru Añorga";"Ane Elexpuru";"185250";"2003-05-02";"98.82";"18";"0";"10068.5";"101.89";"1193.17";"483.11";"43.78";"138.61";"7.78";"621.72";"51.56";"27.98";"29.22";"108.06";"4.94";"97.72";"11.11";"2.94";"0.69";"0.8";"0.67";"1.61";"1.66";"23.89";"2.2";"3.0";"9170.08";"101.89";"1086.7";"440.0";"39.87";"126.24";"7.08";"566.25";"46.96";"98.41";"4.5";"89.0";"10.12";"2.68";"0.61";"21.76"
"Lucía Moral Ruiz";"Lucía Moral";"185251";"2004-02-11";"82.34";"6";"0";"8960.17";"108.82";"1472.5";"534.17";"42.5";"42.5";"3.17";"576.67";"45.67";"24.78";"25.02";"109.0";"5.33";"85.67";"11.83";"0.67";"null";"null";"0.17";"null";"null";"32.0";"2.31";"2.84";"9794.18";"108.82";"1609.56";"583.89";"46.46";"46.46";"3.46";"630.34";"49.92";"119.15";"5.83";"93.64";"12.93";"0.73";"0.18";"34.98"
"Fiamma Benítez Iannuzzi";"Fiamma Iannuzzi";"188219";"2004-06-19";"92.58";"19";"0";"9929.89";"107.26";"1450.05";"359.0";"28.79";"39.63";"1.63";"398.63";"30.42";"24.71";"26.34";"96.32";"2.32";"84.95";"4.26";"0.58";"0.9";"null";"0.0";"null";"null";"20.95";"1.97";"2.87";"9653.55";"107.26";"1409.7";"349.01";"27.99";"38.53";"1.59";"387.54";"29.57";"93.64";"2.25";"82.58";"4.14";"0.56";"0.0";"20.36"
"Luany Vitória da Silva Rosa";"Luany";"188656";"2003-02-03";"93.32";"16";"0";"10047.38";"107.67";"1420.81";"621.56";"56.88";"201.94";"10.44";"823.5";"67.31";"28.79";"30.0";"109.38";"6.19";"90.44";"18.0";"4.12";"0.75";"0.89";"1.38";"1.52";"2.02";"28.75";"1.75";"2.45";"9690.38";"107.67";"1370.33";"599.48";"54.85";"194.76";"10.07";"794.24";"64.92";"105.49";"5.97";"87.22";"17.36";"3.98";"1.33";"27.73"
"Chinyere Mercy Kalu";"C. Kalu";"191946";"2005-10-23";"69.57";"1";"0";"6697.0";"96.27";"785.0";"113.0";"11.0";"1.0";"0.0";"114.0";"11.0";"23.3";"23.3";"84.0";"1.0";"73.0";"5.0";"0.0";"null";"null";"0.0";"null";"null";"15.0";"null";"null";"8664.06";"96.27";"1015.57";"146.19";"14.23";"1.29";"0.0";"147.48";"14.23";"108.67";"1.29";"94.44";"6.47";"0.0";"0.0";"19.41"
"Sakina Ouzraoui Diki";"S. Ouzraoui Diki";"407291";"2001-08-29";"82.31";"17";"0";"8359.65";"101.57";"971.82";"458.71";"40.47";"97.94";"5.88";"556.65";"46.35";"27.04";"28.16";"87.88";"4.0";"71.94";"9.29";"2.35";"0.66";"0.77";"0.76";"1.9";"null";"22.47";"2.08";"2.83";"9140.91";"101.57";"1062.65";"501.57";"44.25";"107.09";"6.43";"608.67";"50.68";"96.1";"4.37";"78.66";"10.16";"2.57";"0.84";"24.57"
"Malou Marcetto Rylov";"M. Marcetto";"661012";"2003-04-16";"93.66";"15";"0";"10286.07";"109.82";"1509.53";"460.07";"39.13";"56.27";"3.87";"516.33";"43.0";"25.61";"27.16";"110.67";"2.47";"94.13";"7.4";"0.73";"0.95";"1.02";"0.07";"null";"null";"29.07";"2.05";"2.81";"9883.88";"109.82";"1450.51";"442.08";"37.6";"54.07";"3.72";"496.14";"41.32";"106.34";"2.37";"90.45";"7.11";"0.7";"0.06";"27.93"
"Maëlle Lakrar";"M. Lakrar";"662317";"2000-05-27";"98.17";"8";"0";"9271.38";"94.45";"1018.38";"305.75";"27.0";"62.88";"3.75";"368.62";"30.75";"26.94";"27.66";"104.62";"2.75";"87.62";"6.62";"1.5";"0.9";"null";"0.25";"null";"null";"12.25";"2.34";"null";"8500.07";"94.45";"933.65";"280.31";"24.75";"57.64";"3.44";"337.96";"28.19";"95.92";"2.52";"80.34";"6.07";"1.38";"0.23";"11.23"
"Flavine Mawete Musolo";"F. Mawete";"667230";"2000-12-11";"92.31";"9";"0";"9055.56";"98.1";"1024.0";"506.11";"47.89";"144.67";"7.78";"650.78";"55.67";"27.74";"28.44";"97.89";"5.11";"82.56";"13.56";"2.11";"0.87";"null";"0.44";"null";"null";"20.89";"2.24";"3.02";"8828.66";"98.1";"998.34";"493.43";"46.69";"141.04";"7.58";"634.47";"54.27";"95.44";"4.98";"80.49";"13.22";"2.06";"0.43";"20.37"
"Kamilla Melgård";"K. Melgård";"667252";"2005-12-16";"96.08";"20";"0";"10555.0";"109.86";"1527.0";"641.45";"54.35";"138.85";"8.75";"780.3";"63.1";"27.3";"28.62";"119.8";"5.0";"102.8";"14.0";"2.9";"0.67";"0.8";"0.5";"1.69";"1.83";"31.75";"1.95";"2.67";"9887.5";"109.86";"1430.43";"600.88";"50.91";"130.07";"8.2";"730.95";"59.11";"112.22";"4.68";"96.3";"13.11";"2.72";"0.47";"29.74"
"Bella Andersson";"B. Andersson";"751442";"2006-07-12";"101.01";"11";"0";"9945.64";"98.46";"887.73";"227.36";"21.55";"40.18";"2.55";"267.55";"24.09";"25.83";"27.22";"91.0";"2.09";"74.18";"3.09";"1.0";"0.91";"null";"0.09";"null";"null";"12.91";"2.51";"3.21";"8861.78";"98.46";"790.98";"202.59";"19.2";"35.8";"2.27";"238.39";"21.47";"81.08";"1.86";"66.1";"2.75";"0.89";"0.08";"11.5"
"Paula Comendador Prado";"Paula Comendador";"798964";"2007-01-12";"78.33";"4";"0";"8119.75";"103.67";"920.25";"295.5";"27.25";"38.0";"2.5";"333.5";"29.75";"25.93";"25.93";"85.25";"3.5";"73.75";"7.5";"2.0";"0.87";"null";"1.25";"null";"null";"18.75";"2.86";"null";"9330.07";"103.67";"1057.42";"339.55";"31.31";"43.66";"2.87";"383.21";"34.18";"97.96";"4.02";"84.74";"8.62";"2.3";"1.44";"21.54"
"María Luisa García Antolín";"Marisa Garcia";"798965";"2006-06-22";"87.9";"7";"0";"8865.57";"100.85";"1075.0";"414.43";"36.71";"63.14";"4.14";"477.57";"40.86";"25.74";"26.2";"95.71";"4.86";"84.57";"9.57";"1.86";"0.93";"null";"0.0";"null";"null";"24.43";"2.29";"2.9";"9076.89";"100.85";"1100.62";"424.31";"37.59";"64.65";"4.24";"488.95";"41.83";"98.0";"4.97";"86.59";"9.8";"1.9";"0.0";"25.01"
"Rebeca Costa da Silva";"Rebeca";"807401";"2005-09-01";"101.27";"15";"0";"10114.33";"99.87";"1201.73";"304.8";"27.33";"42.87";"2.93";"347.67";"30.27";"26.31";"27.38";"108.53";"2.4";"90.2";"5.8";"1.2";"0.61";"0.92";"0.13";"null";"null";"15.33";"2.37";"3.29";"8988.55";"99.87";"1067.97";"270.87";"24.29";"38.1";"2.61";"308.97";"26.9";"96.45";"2.13";"80.16";"5.15";"1.07";"0.12";"13.63"
"Elsa Maria Gomez Alvarado";"E. Gomez";"807467";"2006-03-19";"91.61";"2";"0";"9162.5";"100.02";"1135.5";"541.5";"40.5";"110.0";"5.0";"651.5";"45.5";"25.95";"25.95";"108.5";"4.5";"89.5";"10.5";"1.0";"null";"null";"1.0";"null";"null";"18.0";"null";"null";"9001.64";"100.02";"1115.56";"531.99";"39.79";"108.07";"4.91";"640.06";"44.7";"106.6";"4.42";"87.93";"10.32";"0.98";"0.98";"17.68"
"Alba Cerrato Izquierdo";"Alba Cerrato";"807470";"2007-01-01";"90.05";"3";"0";"9537.0";"105.91";"1302.33";"582.67";"47.67";"132.67";"7.0";"715.33";"54.67";"26.4";"26.4";"113.0";"5.0";"93.0";"15.33";"2.67";"null";"null";"0.0";"null";"null";"36.67";"2.27";"null";"9531.7";"105.91";"1301.61";"582.34";"47.64";"132.59";"7.0";"714.94";"54.64";"112.94";"5.0";"92.95";"15.32";"2.67";"0.0";"36.65"
"Elena Vázquez Brandon";"Elena Vázquez";"807472";"2007-10-08";"94.35";"6";"0";"9028.5";"95.69";"931.17";"233.0";"18.83";"30.5";"1.83";"263.5";"20.67";"25.67";"25.92";"93.67";"1.83";"80.67";"2.33";"0.33";"null";"null";"0.0";"null";"null";"7.83";"null";"null";"8612.5";"95.69";"888.26";"222.26";"17.97";"29.09";"1.75";"251.36";"19.71";"89.35";"1.75";"76.95";"2.23";"0.32";"0.0";"7.47"
"Silvia Cristóbal Fernández";"S. Cristobal";"807482";"2008-05-01";"96.82";"3";"0";"10141.67";"104.75";"1179.0";"333.67";"34.0";"53.67";"3.67";"387.33";"37.67";"25.8";"25.8";"100.0";"3.67";"90.0";"9.33";"1.67";"0.8";"null";"0.33";"null";"null";"26.67";"2.24";"null";"9427.61";"104.75";"1095.99";"310.17";"31.61";"49.89";"3.41";"360.06";"35.01";"92.96";"3.41";"83.66";"8.68";"1.55";"0.31";"24.79"
"Emma Moreno Torres";"E. Moreno";"807484";"2007-05-02";"81.98";"12";"0";"8626.83";"105.23";"1203.5";"436.92";"39.58";"75.75";"5.5";"512.67";"45.08";"26.89";"27.7";"101.42";"3.58";"80.5";"11.58";"2.0";"0.73";"0.92";"0.0";"null";"null";"29.75";"2.0";"2.72";"9470.4";"105.23";"1321.18";"479.64";"43.45";"83.16";"6.04";"562.8";"49.49";"111.33";"3.93";"88.37";"12.72";"2.2";"0.0";"32.66"
